order_id,order_date,category,region,payment_mode,units_sold,unit_price,revenue,month
1508,2025-03-06,Sports,East,Net Banking,17,300.47,5107.99,March
1741,2025-08-13,Clothing,North,Credit Card,22,367.09,8075.98,August
1279,2025-03-26,Electronics,North,Cash,8,12.12,96.96,March
1930,2025-10-10,Electronics,West,Debit Card,20,165.54,3310.8,October
1633,2025-07-11,Sports,North,Cash,5,241.29,1206.45,July
2045,2025-11-13,Electronics,South,Credit Card,18,318.04,5724.72,November
1518,2025-06-06,Sports,West,Net Banking,13,309.49,4023.37,June
1656,2025-07-18,Toys,West,Net Banking,3,237.21,711.63,July
2038,2025-11-11,Clothing,South,Debit Card,14,166.84,2335.76,November
1759,2025-08-19,Home & Kitchen,North,Credit Card,18,423.11,7615.98,August
1035,2025-01-11,Toys,North,Net Banking,23,96.9,2228.7,January
2018,2025-11-05,Books,West,Credit Card,22,479.03,10538.66,November
1147,2025-02-14,Books,East,Debit Card,10,234.8,2348.0,February
1722,2025-08-07,Electronics,East,Cash,10,189.86,1898.6,August
1351,2025-04-17,Electronics,South,Upi,19,305.39,5802.41,April
1136,2025-10-02,Sports,South,Upi,5,422.45,2112.25,October
1489,2025-05-29,Sports,South,Credit Card,24,315.53,7572.72,May
1455,2025-05-18,Clothing,East,Upi,11,244.845,2693.3,May
1273,2025-03-24,Clothing,South,Credit Card,15,183.41,2751.15,March
1756,2025-08-18,Sports,West,Debit Card,7,77.49,542.43,August
1793,2025-08-29,Toys,South,Credit Card,19,115.22,2189.18,August
2180,2025-12-24,Home & Kitchen,West,Debit Card,23,292.42,6725.66,December
1173,2025-02-22,Toys,West,Debit Card,8,9.14,73.12,February
1680,2025-07-26,Sports,North,Debit Card,5,178.66,893.3,July
2013,2025-11-04,Home & Kitchen,South,Net Banking,6,181.52,1089.12,November
1111,2025-02-03,Home & Kitchen,East,Credit Card,18,62.12,1118.16,February
1263,2025-03-21,Electronics,South,Net Banking,10,166.69,1666.9,March
1364,2025-04-21,Electronics,South,Cash,14,449.2,6288.8,April
1281,2025-03-27,Books,South,Upi,7,313.75,2196.25,March
1833,2025-09-10,Books,East,Net Banking,10,356.17,3561.7,September
1129,2025-02-08,Home & Kitchen,East,Cash,20,345.87,6917.4,February
1217,2025-03-07,Electronics,South,Cash,6,194.49,1166.94,March
1825,2025-09-08,Toys,South,Credit Card,3,394.75,1184.25,September
