order_id,order_date,category,region,payment_mode,units_sold,unit_price,revenue
1508,06/03/2025,SPORTS,east,Net Banking,17.0,300.47,5107.99
1741,2025-08-13,Clothing,north,Credit Card,22.0,367.09,8075.98
1279,26-Mar-2025,Electronics,  North  ,Cash,8.0,12.12,96.96
1930,10/10/2025,  Electronics  ,WEST,Debit Card,20.0,165.54,3310.8
1633,2025-07-11,  Sports  ,north,Cash,5.0,,
2045,2025-11-13,Electronics,South,Credit Card,18.0,318.04,5724.72
1518,06/06/2025,Sports,west,Net Banking,13.0,309.49,4023.37
1656,07/18/2025,toys,West,Net Banking,3.0,,
2038,11/11/2025,Clothing,,,14.0,166.84,2335.76
1759,19-Aug-2025,Home & Kitchen,North,Credit Card,18.0,423.11,7615.98
1035,11-Jan-2025,toys,North,Net Banking,23.0,96.9,2228.7
2018,05/11/2025,Books,West,Credit Card,22.0,479.03,10538.66
1147,14-Feb-2025,Books,EAST,Debit Card,10.0,,
1722,07/08/2025,Electronics,East,Cash,10.0,189.86,1898.6
1351,17-Apr-2025,Electronics,South,UPI,19.0,305.39,5802.41
1136,02/10/2025,sports,,UPI,5.0,422.45,2112.25
1489,2025-05-29,sports,,Credit Card,24.0,315.53,7572.72
1455,18-May-2025,Clothing,EAST,UPI,,,
1273,2025-03-24,Clothing,south,Credit Card,15.0,183.41,2751.15
1756,08/18/2025,sports,  West  ,Debit Card,7.0,77.49,542.43
1793,2025-08-29,Toys,south,Credit Card,19.0,115.22,2189.18
2180,12/24/2025,Home & Kitchen,West,Debit Card,23.0,292.42,6725.66
1173,2025-02-22,Toys,WEST,Debit Card,8.0,9.14,73.12
1680,07/26/2025,sports,NORTH,,5.0,178.66,893.3
2013,2025-11-04,  Home & Kitchen  ,,Net Banking,6.0,181.52,1089.12
1111,03-Feb-2025,  Home & Kitchen  ,East,Credit Card,18.0,62.12,1118.16
1263,21-Mar-2025,ELECTRONICS,South,Net Banking,10.0,166.69,1666.9
1364,04/21/2025,Electronics,SOUTH,Cash,14.0,449.2,6288.8
1281,2025-03-27,Books,  South  ,UPI,7.0,313.75,2196.25
1833,2025-09-10,BOOKS,east,Net Banking,10.0,356.17,3561.7
1129,2025-02-08,HOME & KITCHEN,east,Cash,20.0,345.87,6917.4
1217,2025-03-07,electronics,South,Cash,6.0,194.49,1166.94
1825,2025-09-08,  Toys  ,South,Credit Card,3.0,394.75,1184.25
1666,21/07/2025,books,west,Debit Card,,218.46,
1937,2025-10-12,  Books  ,North,Net Banking,16.0,141.58,2265.28
1463,21-May-2025,  Sports  ,East,Credit Card,12.0,142.93,1715.16
1588,06/28/2025,  Electronics  ,West,Net Banking,13.0,85.58,1112.54
1464,05/21/2025,Electronics,South,Cash,9.0,113.26,1019.34
1052,01/16/2025,Clothing,North,UPI,3.0,476.64,1429.92
1797,2025-08-30,Sports,south,UPI,15.0,84.31,1264.65
1753,2025-08-17,Books,  West  ,Credit Card,3.0,217.09,651.27
1903,01-Oct-2025,CLOTHING,West,Credit Card,15.0,311.6,4674.0
1591,29-Jun-2025,Toys,south,Cash,12.0,484.2,5810.4
1946,14/10/2025,  Toys  ,west,UPI,4.0,69.83,279.32
1171,21-Feb-2025,BOOKS,East,Cash,3.0,330.08,990.24
1761,2025-08-19,toys,West,Net Banking,20.0,192.63,3852.6
1878,24/09/2025,sports,West,Cash,22.0,152.16,3347.52
1028,01/09/2025,Electronics,north,UPI,1.0,383.4,383.4
1475,24-May-2025,Sports,north,Debit Card,9.0,48.07,432.63
1507,03-Jun-2025,TOYS,East,Debit Card,13.0,217.84,2831.92
1064,01/20/2025,TOYS,South,Net Banking,7.0,340.09,2380.63
1668,07/22/2025,Books,North,Credit Card,18.0,29.92,538.56
1893,2025-09-28,  Home & Kitchen  ,East,Debit Card,2.0,496.33,992.66
1537,2025-06-12,Electronics,West,UPI,11.0,192.98,2122.78
1448,05/16/2025,  Books  ,North,UPI,12.0,67.37,808.44
1984,10/26/2025,Books,  North  ,Debit Card,23.0,397.13,9133.99
2194,29/12/2025,TOYS,South,Debit Card,24.0,193.57,4645.68
1102,31/01/2025,electronics,North,Debit Card,3.0,,
1373,2025-04-23,Electronics,North,Credit Card,13.0,409.4,5322.2
1152,02/15/2025,  Sports  ,South,Cash,21.0,197.76,4152.96
1290,29/03/2025,Books,NORTH,Credit Card,8.0,292.57,2340.56
2084,11/25/2025,TOYS,North,Net Banking,20.0,293.65,5873.0
1047,14-Jan-2025,Clothing,  South  ,Credit Card,21.0,180.13,3782.73
1726,09/08/2025,home & kitchen,east,Net Banking,10.0,209.52,2095.2
1925,2025-10-08,ELECTRONICS,South,Credit Card,9.0,55.91,503.19
1378,25/04/2025,TOYS,North,Cash,23.0,40.16,923.68
1996,10/30/2025,Toys,SOUTH,Debit Card,18.0,365.75,6583.5
1586,27/06/2025,electronics,EAST,UPI,2.0,35.6,71.2
1854,16/09/2025,HOME & KITCHEN,north,Debit Card,6.0,248.81,1492.86
1649,2025-07-16,Clothing,East,Debit Card,6.0,490.38,2942.28
2131,10-Dec-2025,  Toys  ,East,Net Banking,14.0,477.51,6685.14
1579,25-Jun-2025,Home & Kitchen,SOUTH,Credit Card,763.0,134.22,102409.86
1783,26-Aug-2025,Home & Kitchen,West,UPI,13.0,136.63,1776.19
2142,13/12/2025,Books,West,Credit Card,20.0,108.37,2167.4
1456,19/05/2025,Clothing,East,Net Banking,9.0,118.76,1068.84
2058,17/11/2025,Electronics,West,Net Banking,9.0,224.3,2018.7
1563,20-Jun-2025,Sports,West,Cash,16.0,424.81,6796.96
