student_id,gender,study_group,study_hours_per_day,attendance_pct,sleep_hours,social_media_hours,extracurricular_hours,previous_score,exam_score
1,Female,Group C,6.0,82.3,5.1,3.9,1.1,70.1,93.3
2,Female,Group B,2.8,68.3,6.3,5.2,2.0,33.2,73.2
3,Male,Group C,3.5,59.6,5.5,0.8,0.3,45.0,83.3
4,Female,Group B,4.1,60.6,6.5,2.8,1.1,81.1,95.7
5,Male,Group A,2.3,87.6,6.7,2.4,3.4,67.7,75.0
6,Female,Group A,3.5,67.9,6.6,2.2,1.8,65.6,82.2
7,Male,Group B,3.5,95.5,6.6,2.9,0.9,42.1,76.1
8,Female,Group C,0.9,99.1,5.8,2.4,0.0,90.1,81.2
9,Female,Group B,5.0,78.6,7.1,2.3,4.0,81.7,100.0
10,Male,Group B,4.4,100.0,7.9,1.8,6.0,76.8,100.0
11,Female,Group A,2.6,84.7,5.7,3.3,2.3,49.6,89.3
12,Male,Group C,3.2,95.5,6.4,4.2,0.4,75.0,81.6
13,Male,Group A,4.3,79.3,6.6,5.0,1.3,83.4,87.3
14,Male,Group B,3.1,93.5,8.1,2.0,2.4,61.4,88.5
15,Female,Group C,3.1,70.7,7.9,1.2,1.1,62.5,97.9
16,Male,Group C,1.3,89.5,5.6,2.3,5.3,59.2,64.1
17,Female,Group C,4.3,76.5,6.6,1.5,1.4,,99.9
18,Female,Group B,3.7,80.4,4.6,4.2,0.0,62.7,83.8
19,Male,Group A,3.9,89.6,5.2,1.6,0.5,61.5,94.8
20,Male,Group C,1.2,84.1,6.5,2.8,6.0,44.4,53.1
21,Male,Group C,6.0,81.1,7.3,0.8,5.9,,100.0
22,Female,Group C,3.7,90.7,7.7,2.2,3.8,80.3,92.8
23,Male,Group C,2.9,91.6,6.1,3.0,0.3,89.9,90.1
24,Female,Group B,6.5,65.4,4.7,4.9,0.4,79.2,100.0
25,Female,Group A,3.4,88.7,7.0,1.7,1.4,87.5,93.8
26,Male,Group A,1.3,90.1,6.3,3.2,0.1,58.1,65.2
27,Male,Group A,2.9,73.0,7.1,0.0,3.3,65.5,83.7
28,Male,Group B,0.1,86.6,6.7,1.0,1.0,71.8,79.2
29,Female,Group C,5.1,66.1,7.4,1.6,2.0,63.7,97.4
30,Female,Group A,2.9,99.3,7.4,2.0,1.4,91.3,88.2
31,Female,Group C,2.4,79.1,7.6,3.3,0.7,46.3,96.0
32,Female,Group A,5.1,81.1,5.9,3.6,3.5,57.6,83.3
33,Male,Group A,1.0,96.4,7.8,0.5,0.4,61.0,82.0
34,Female,Group C,4.3,80.3,5.8,3.5,1.1,55.6,86.3
35,Female,Group B,0.4,89.2,6.6,1.2,0.8,78.8,79.9
36,Male,Group A,2.5,69.4,,5.3,1.9,36.2,64.3
37,Male,Group B,1.7,75.2,7.0,3.2,1.8,83.2,79.2
38,Female,Group C,5.7,65.3,5.0,2.9,0.9,79.8,96.3
39,Female,Group C,6.1,79.5,,2.5,0.6,70.9,100.0
40,Male,Group C,3.0,94.4,7.8,2.7,0.4,87.2,100.0
41,Female,Group B,4.8,,8.0,2.7,0.1,100.0,100.0
42,Male,Group C,3.2,92.6,6.8,1.7,0.9,69.0,89.6
43,Male,Group C,4.4,69.7,6.9,3.8,0.0,77.2,84.1
44,Male,Group A,2.4,71.4,6.2,3.1,0.7,72.1,77.8
45,Female,Group B,0.9,76.4,5.6,3.8,5.2,74.1,64.4
46,Female,Group A,0.8,88.9,8.5,2.6,1.6,58.7,56.0
47,Female,Group C,4.1,86.3,6.0,3.7,0.8,55.5,90.3
48,Female,Group A,6.9,81.8,5.9,1.7,4.3,75.5,100.0
49,Female,Group B,3.9,89.5,,7.7,6.0,58.5,76.1
50,Male,Group B,2.7,80.2,8.9,1.7,2.2,80.3,81.2
51,Female,Group B,6.4,81.7,7.6,2.1,0.5,78.3,100.0
52,Female,Group C,3.9,97.7,6.0,4.1,3.3,59.7,79.5
53,Female,Group C,3.7,75.0,6.4,4.4,2.3,71.9,83.8
54,Male,Group B,3.9,84.2,7.2,1.6,1.6,67.6,96.8
55,Male,Group A,3.3,100.0,7.6,0.4,0.9,64.4,85.8
56,Male,Group C,3.0,83.2,4.4,0.8,0.5,83.4,91.5
57,Female,Group B,1.3,90.5,7.7,1.3,0.5,67.1,77.4
58,Male,Group B,4.3,74.7,6.2,1.6,1.1,70.0,88.6
59,Female,Group A,3.4,,5.6,2.5,1.1,37.4,93.2
60,Male,Group A,5.3,55.0,6.0,4.2,0.9,75.4,91.2
61,Female,Group A,2.9,68.4,7.5,4.2,2.4,44.9,82.9
62,Male,Group C,0.6,69.4,8.8,1.9,0.4,60.7,68.5
63,Male,Group B,3.4,100.0,6.7,3.5,0.2,90.6,88.7
64,Female,Group B,6.0,86.2,7.2,3.9,0.3,93.3,100.0
65,Male,Group C,2.9,78.9,5.4,4.7,1.5,60.7,72.7
66,Male,Group C,2.2,66.6,7.1,2.5,0.0,47.7,73.0
67,Male,Group C,1.7,86.4,7.6,1.7,0.6,72.5,88.4
68,Female,Group B,1.9,83.4,4.6,3.8,0.3,60.6,75.0
69,Male,Group C,3.0,73.7,5.8,4.8,0.0,71.6,87.5
70,Female,Group A,1.7,64.1,7.5,2.0,4.3,46.4,63.5
71,Female,Group A,5.7,68.8,4.2,5.4,0.7,83.3,93.8
72,Female,Group B,3.1,84.6,6.0,5.1,3.5,89.8,92.6
73,Male,Group A,3.7,85.7,7.3,2.3,1.0,44.9,82.4
74,Female,Group A,5.7,82.9,4.3,0.5,5.3,55.0,96.1
75,Female,Group A,5.8,80.2,6.0,1.9,0.2,56.1,99.5
76,Male,Group B,3.2,60.8,6.6,2.2,0.7,77.5,88.8
