customer_id,age,tenure_months,contract_type,monthly_charges,total_charges,internet_addon,support_calls,tech_issues_reported,payment_delay_days,churned
10001,51,52,Two Year,45.47,2320.48,No,2,0,0,0
10002,33,15,Month-to-Month,104.09,1607.69,No,0,0,0,0
10003,42,61,One Year,23.84,1352.3,No,1,1,5,0
10004,54,21,Month-to-Month,110.18,2117.94,No,2,0,2,1
10005,25,24,One Year,66.15,1352.89,No,1,1,0,0
10006,46,3,Month-to-Month,83.72,255.01,No,2,0,3,1
10007,69,22,Month-to-Month,85.94,1909.96,Yes,2,1,6,1
10008,63,53,Two Year,109.51,5054.68,Yes,0,0,3,0
10009,42,2,Month-to-Month,83.67,161.55,Yes,1,1,1,1
10010,59,30,Two Year,81.39,2302.03,Yes,1,3,1,0
10011,40,38,Two Year,26.67,885.5,Yes,0,0,4,0
10012,51,2,Month-to-Month,71.84,150.31,Yes,0,1,0,1
10013,20,64,Month-to-Month,35.02,2001.33,Yes,2,2,0,1
10014,47,60,One Year,93.74,4856.37,Yes,0,1,1,0
10015,67,21,Two Year,71.22,1449.21,Yes,2,1,2,1
10016,70,33,Two Year,88.02,2898.19,Yes,0,1,1,0
10017,51,58,Month-to-Month,24.17,1200.68,No,0,1,1,0
10018,49,22,One Year,28.48,615.12,No,0,4,0,0
10019,70,49,Month-to-Month,91.63,4294.37,No,0,2,0,0
10020,46,59,Two Year,27.21,1397.74,Yes,1,1,0,1
10021,26,42,Two Year,27.13,1007.86,Yes,1,1,2,0
10022,19,60,Month-to-Month,21.21,1226.27,Yes,3,1,2,1
10023,74,15,Month-to-Month,115.65,1577.36,No,1,0,2,1
10024,56,62,Month-to-Month,93.75,6031.42,Yes,4,0,1,0
10025,24,62,Month-to-Month,55.33,3477.62,Yes,1,0,0,0
10026,63,47,Two Year,49.65,2442.56,No,0,1,1,0
10027,22,62,Month-to-Month,54.97,3073.92,Yes,1,0,0,1
10028,25,51,Month-to-Month,97.47,5189.42,Yes,1,3,0,1
10029,49,55,Month-to-Month,86.14,4435.66,Yes,2,0,1,0
10030,72,64,Two Year,38.52,2266.83,Yes,2,0,16,1
10031,71,3,One Year,37.41,96.53,Yes,1,0,1,0
10032,35,51,Month-to-Month,29.84,1309.62,Yes,3,2,8,1
10033,55,7,Month-to-Month,86.03,595.23,No,1,0,1,0
10034,63,21,Two Year,96.44,1906.94,No,0,1,1,1
10035,35,39,Two Year,46.5,1623.63,Yes,1,2,4,0
10036,66,18,Month-to-Month,22.09,386.8,No,2,1,0,0
10037,58,4,Month-to-Month,28.22,101.66,Yes,1,2,0,1
10038,62,60,Month-to-Month,116.79,6765.83,Yes,1,1,10,1
10039,33,14,Month-to-Month,49.54,639.35,Yes,0,1,2,1
10040,38,9,One Year,96.92,885.11,Yes,0,0,0,0
10041,27,53,Two Year,82.47,4432.71,Yes,0,0,0,0
10042,59,2,Month-to-Month,58.19,110.03,Yes,0,2,7,1
10043,21,60,Two Year,40.57,2239.86,No,1,0,6,0
10044,61,71,Month-to-Month,32.14,2105.12,Yes,1,1,1,0
10045,25,44,One Year,81.5,3625.96,Yes,1,0,0,0
10046,64,8,One Year,97.46,713.9,No,0,0,5,1
10047,70,47,Month-to-Month,84.39,3537.22,Yes,1,0,1,0
10048,72,35,Month-to-Month,73.03,2215.94,Yes,4,1,1,1
10049,36,36,One Year,24.2,821.84,No,2,2,3,0
10050,64,50,Month-to-Month,116.85,5529.5,Yes,0,0,1,0
10051,57,4,Month-to-Month,99.87,406.74,Yes,2,2,2,1
10052,57,2,Month-to-Month,49.28,88.14,Yes,0,0,6,1
10053,68,6,Two Year,118.0,655.75,Yes,1,0,4,1
10054,26,54,Month-to-Month,80.19,4380.84,Yes,1,1,1,0
10055,47,4,Two Year,78.24,317.57,Yes,1,1,1,1
10056,73,54,Month-to-Month,94.81,4745.6,No,2,1,1,0
10057,34,63,One Year,101.18,6003.51,No,3,1,1,1
10058,57,18,One Year,85.65,1403.96,Yes,2,0,2,0
10059,61,44,Two Year,32.81,1496.35,No,0,2,1,0
10060,32,34,Month-to-Month,53.83,1599.12,No,1,1,0,1
10061,21,62,One Year,112.81,7251.26,Yes,0,1,0,0
10062,23,14,One Year,42.46,586.58,Yes,1,0,1,1
10063,33,48,Month-to-Month,57.22,2626.57,Yes,2,3,2,1
10064,43,15,Month-to-Month,63.21,812.12,No,2,1,2,1
10065,74,62,Month-to-Month,63.94,3746.72,Yes,0,3,1,0
10066,54,40,Month-to-Month,81.29,3029.03,No,0,1,4,1
10067,40,53,Two Year,114.31,5345.01,Yes,1,0,4,0
10068,30,24,Month-to-Month,44.07,1037.88,Yes,0,1,1,0
10069,64,26,Month-to-Month,32.15,872.87,Yes,0,0,0,0
10070,34,60,One Year,39.75,2295.41,Yes,2,0,2,0
10071,74,41,Month-to-Month,108.69,4424.88,No,0,0,1,0
10072,71,29,Month-to-Month,84.58,2118.48,No,0,0,0,0
10073,44,15,Month-to-Month,48.59,680.41,Yes,2,0,12,1
10074,69,45,Two Year,101.59,3992.21,No,2,1,1,1
10075,39,65,Two Year,106.14,6709.78,No,3,0,2,1
10076,54,71,Two Year,104.65,7710.24,Yes,1,0,2,0
10077,36,9,Month-to-Month,111.89,989.24,No,2,1,0,1
10078,56,1,One Year,45.22,39.13,Yes,1,0,0,1
10079,52,8,Month-to-Month,95.5,703.59,Yes,2,0,2,1
10080,30,63,Month-to-Month,66.05,3995.26,Yes,1,0,0,1
10081,31,11,Month-to-Month,104.2,1066.7,No,3,1,0,1
10082,65,8,One Year,92.85,755.23,Yes,1,1,9,1
10083,48,35,Month-to-Month,97.64,3461.6,No,1,2,1,1
10084,62,35,Month-to-Month,85.62,2913.89,No,4,0,0,1
10085,19,33,Month-to-Month,37.74,1151.63,Yes,0,0,1,0
10086,63,5,Month-to-Month,74.5,335.65,Yes,2,1,2,1
10087,69,41,One Year,118.47,4231.53,Yes,2,1,1,0
10088,56,28,Month-to-Month,113.74,2933.06,Yes,1,0,0,1
10089,54,7,One Year,24.32,158.77,Yes,4,0,1,1
10090,31,12,Month-to-Month,36.48,431.27,Yes,2,0,0,1
10091,26,34,Two Year,33.17,1107.06,Yes,4,0,2,0
10092,27,33,One Year,92.6,2640.28,Yes,0,0,2,0
10093,24,48,Month-to-Month,101.78,4538.83,Yes,1,1,0,1
10094,45,23,Month-to-Month,41.35,842.97,Yes,3,2,1,1
10095,63,62,One Year,70.59,3857.35,No,3,1,1,0
10096,42,37,Two Year,104.07,3910.12,No,1,0,2,0
10097,63,44,Month-to-Month,93.28,3523.08,Yes,0,1,1,0
10098,74,35,Month-to-Month,74.22,2425.83,Yes,1,1,1,1
10099,45,65,Two Year,79.03,4539.22,Yes,2,2,12,1
10100,19,47,One Year,70.84,3415.6,Yes,2,1,0,0
10101,34,3,Month-to-Month,49.75,143.49,Yes,2,0,13,1
10102,69,1,Month-to-Month,76.5,68.57,Yes,1,0,0,1
10103,21,5,Month-to-Month,88.89,422.44,No,1,1,1,1
10104,30,14,One Year,107.33,1497.06,Yes,3,1,2,0
10105,35,27,Month-to-Month,83.63,2352.0,No,3,0,0,1
10106,20,9,Two Year,96.11,773.38,Yes,2,0,0,1
10107,68,15,Month-to-Month,36.01,554.86,Yes,3,0,0,0
10108,54,42,Month-to-Month,66.16,2881.15,Yes,2,1,10,1
10109,50,51,One Year,20.93,1102.96,Yes,2,1,1,0
10110,58,63,Two Year,44.67,2749.72,Yes,1,0,2,0
10111,41,52,Two Year,92.65,4702.0,Yes,0,0,3,0
10112,25,4,Month-to-Month,119.18,443.66,Yes,1,0,4,1
10113,52,23,One Year,29.92,688.49,Yes,2,4,3,1
10114,19,15,One Year,60.15,862.78,No,3,1,1,1
10115,50,43,Month-to-Month,100.01,4238.02,No,2,1,0,1
10116,29,29,Month-to-Month,40.4,1096.26,Yes,1,0,0,0
10117,39,36,Month-to-Month,75.51,2708.3,Yes,1,1,0,0
10118,30,13,Month-to-Month,93.31,1231.1,Yes,0,1,0,1
10119,27,32,Two Year,81.6,2295.99,No,0,1,0,0
10120,34,71,Month-to-Month,38.8,2800.49,Yes,3,0,8,0
10121,60,59,Two Year,55.54,3139.43,Yes,1,1,7,1
10122,22,28,Month-to-Month,98.38,2806.79,Yes,2,3,0,1
10123,74,66,One Year,75.42,4660.44,Yes,2,0,0,0
10124,26,42,Month-to-Month,20.52,797.9,Yes,1,3,0,1
10125,30,45,Month-to-Month,96.1,4467.26,No,1,1,0,1
10126,69,62,Month-to-Month,23.53,1313.32,No,2,2,0,0
10127,40,57,Month-to-Month,94.57,5492.06,Yes,2,0,8,0
10128,47,6,One Year,40.25,228.65,Yes,1,1,0,0
10129,60,28,Month-to-Month,115.81,3089.69,Yes,2,0,0,0
10130,72,28,One Year,56.79,1449.7,Yes,1,0,0,1
10131,21,44,Month-to-Month,52.69,2236.31,No,0,0,11,1
10132,38,30,Month-to-Month,34.89,957.77,Yes,0,0,7,1
10133,60,62,Month-to-Month,50.56,2689.13,Yes,0,3,3,0
10134,26,62,Two Year,107.67,6037.36,Yes,4,0,1,1
10135,24,1,One Year,119.63,101.84,No,3,3,0,1
10136,33,27,Month-to-Month,56.83,1604.49,Yes,3,2,0,1
10137,40,62,Month-to-Month,64.86,4194.84,Yes,0,0,1,0
10138,40,3,Month-to-Month,92.21,257.0,Yes,2,2,4,1
10139,48,70,Two Year,108.62,7570.51,Yes,2,0,0,0
10140,74,27,One Year,79.3,1968.02,No,2,0,1,0
10141,22,9,Month-to-Month,59.15,523.95,Yes,3,2,2,1
10142,23,62,One Year,61.26,3840.23,Yes,2,0,0,0
10143,68,37,Month-to-Month,89.56,3444.12,Yes,1,1,2,0
10144,18,51,Two Year,20.32,963.82,No,1,1,1,0
10145,65,44,Month-to-Month,81.96,3630.26,Yes,0,2,0,0
10146,45,24,One Year,55.55,1204.13,Yes,1,3,1,0
10147,35,59,Month-to-Month,99.42,6147.73,Yes,1,1,7,1
10148,41,32,One Year,29.3,801.79,No,1,0,1,0
10149,30,52,One Year,78.82,3978.57,No,0,1,1,0
10150,50,62,One Year,68.1,4145.78,No,0,1,0,0
10151,27,58,One Year,84.23,4824.81,Yes,2,2,2,0
10152,24,52,Two Year,26.49,1204.02,Yes,3,1,5,0
10153,54,12,Month-to-Month,78.0,971.29,No,1,0,1,1
10154,49,39,Month-to-Month,76.15,2631.99,Yes,2,0,0,1
